cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,label
2,3,1,2,6,1,0,3,15,0.0,0.0,0.0,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,0,0,0,0,0,4,0,4,0,0,0,0,40,17,0,1
11,11,0,11,10,1,0,22,0,0.7083333,0.0,0.0,8,0,0,0,0,8,8,0,0,0,6,0,0,6,0,0,5,0,1,46,0,0,0,0,0,15,13,11,0,12,0,0,0,1,50,0,0,1
2,4,2,2,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0
2,2,0,2,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0
1,2,1,1,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
0,1,1,0,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,1
0,1,1,0,9,1,0,8,12,0.7111112,0.0,0.0,9,0,9,0,0,0,9,0,0,0,5,1,0,5,0,0,1,0,0,44,5,0,0,0,0,8,1,6,0,6,0,0,0,0,29,1,0,1
4,6,2,4,12,1,0,15,52,0.8166667,0.0,0.0,12,2,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,56,7,0,0,0,0,0,0,8,0,8,0,0,0,0,19,1,0,1
1,2,1,1,15,1,0,8,63,0.8166667,0.0,0.0,15,0,15,0,0,0,15,0,0,0,8,1,0,8,0,0,1,0,0,68,8,0,0,0,0,17,1,9,0,9,0,0,0,0,44,1,0,1
3,3,0,3,74,1,0,5,2304,0.89855075,0.0,0.0,69,0,65,0,4,0,69,0,0,0,1,0,0,0,1,0,0,0,0,282,65,0,4,0,0,119,1,1,2,1,1,0,0,0,42,1036,0,1
2,4,2,2,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1
0,0,0,0,14,1,0,0,22,0.75,0.0,0.0,13,0,8,0,5,0,13,0,0,0,8,0,0,8,0,0,0,0,0,66,8,0,0,0,0,0,0,13,0,8,1,0,0,0,23,9,0,1
5,5,0,5,1,1,0,4,0,0.0,,,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,5,2,0,3,0,0,0,0,22,1,0,1
0,1,1,0,1,3,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0
0,0,0,0,7,1,0,0,0,0.35714287,0.0,0.0,7,0,0,0,0,7,7,0,0,0,2,0,0,0,0,2,0,0,0,27,4,0,0,0,0,0,2,5,0,2,0,0,0,0,15,10,0,1
1,1,0,1,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0
4,4,0,4,1,1,0,7,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,3,0,3,0,0,0,0,23,0,0,0
5,12,7,5,0,1,0,0,0,,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,1,0,1
3,4,1,3,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,3,0,0,0,0,0,0,0,0,17,1,1,0
2,3,1,2,1,1,0,1,0,0.0,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0
2,2,0,2,1,2,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,24,0,0,0
0,0,0,0,14,1,0,0,22,0.75,0.0,0.0,13,0,8,0,5,0,13,0,0,0,8,0,0,8,0,0,0,0,0,66,8,0,0,0,0,0,0,13,0,8,1,0,0,0,23,9,0,1
3,3,0,3,11,1,0,0,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20,1,0,1
3,3,0,3,1,1,0,3,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,3,1,0,1,0,0,0,0,11,0,0,0
1,9,8,1,37,1,1,8,558,0.9217638,0.0,0.0,37,0,37,0,0,0,37,0,0,0,19,1,0,19,0,0,1,0,0,156,19,0,0,0,0,36,1,20,0,20,0,0,0,0,62,1,0,1
2,4,2,2,2,1,0,6,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,9,1,0,0,0,0,0,1,0,0,2,0,0,0,1,33,1025,0,0
0,1,1,0,1,3,0,0,0,1.0,,,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,1,0,1
6,6,0,6,4,1,0,6,0,0.25,0.0,0.0,4,1,0,0,0,4,4,0,0,0,1,0,0,1,0,0,0,0,1,19,1,0,0,0,0,7,2,2,0,2,0,0,0,0,28,0,0,1
0,0,0,0,2,1,0,5,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,1,0,0,0,2,2,0,3,1,0,0,1,11,0,0,0
3,3,0,3,62,1,0,5,1554,0.877193,0.0,0.0,57,0,53,0,4,0,57,0,0,0,1,0,0,0,1,0,0,0,0,234,53,0,4,0,0,97,1,1,2,1,1,0,0,0,42,1036,0,1
4,4,0,4,4,1,0,11,0,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,1,0,0,1,0,0,0,0,0,29,0,0,0,0,0,10,12,3,0,3,0,0,0,0,30,0,0,1
3,3,0,3,4,2,0,9,0,0.25,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,1,0,0,16,2,0,0,0,1,1,0,1,0,2,0,0,0,1,18,8,0,1
2,2,0,2,10,1,0,14,39,0.7,0.0,0.0,10,0,0,0,0,10,10,0,0,0,1,0,0,0,0,1,0,0,12,63,0,0,0,0,0,11,4,20,2,20,0,0,0,0,32,0,0,1
5,6,1,5,2,2,0,2,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,2,0,0,14,0,0,0,0,0,0,2,4,2,4,0,0,0,0,36,1,0,1
2,4,2,2,2,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,0,12,0,0,0,0,0,1,1,2,0,2,1,0,0,0,28,1,0,0
1,2,1,1,8,1,0,0,2,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,26,1,0,0,0,0,0,0,6,0,4,1,0,0,0,17,1,0,1
3,3,0,3,100,1,0,5,4423,0.9263158,0.0,0.0,95,0,91,0,4,0,95,0,0,0,1,0,0,0,1,0,0,0,0,386,91,0,4,0,0,167,1,1,2,1,1,0,0,0,46,1036,0,1
4,6,2,4,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,2,1,0,0,0,0,0,0,17,1,0,0
1,3,2,1,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0
12,12,0,12,9,1,0,27,0,0.4375,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,48,5,1,3,0,0,2,5,7,2,11,2,0,0,0,34,1,0,1
0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0
7,8,1,7,5,1,0,6,1,0.33333334,0.0,0.0,3,2,2,1,0,0,2,0,0,1,1,1,0,1,0,0,0,0,1,21,1,0,1,1,0,11,0,2,0,1,2,0,0,0,58,17,1,1
5,6,1,5,2,1,0,11,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,1,0,1,0,0,1,0,2,13,0,0,0,0,0,9,0,3,0,3,0,0,0,0,28,0,2,1
1,3,2,1,5,4,0,1,8,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1,0,1
8,14,6,8,7,2,2,6,21,1.0,0.0,0.0,7,0,7,0,0,0,7,5,0,0,2,0,0,2,0,0,0,0,1,15,1,0,0,0,0,1,0,0,0,2,0,0,0,0,31,1025,0,1
2,4,2,2,0,1,0,0,0,,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,1,0,0
0,4,4,0,11,1,0,8,25,0.7575758,0.0,0.0,11,0,11,0,0,0,11,0,0,0,6,1,0,6,0,0,1,0,0,52,6,0,0,0,0,9,1,7,0,7,0,0,0,0,31,1,0,1
0,3,3,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
1,1,0,1,1,2,0,0,0,0.0,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0
0,1,1,0,1,4,0,0,0,1.0,,,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,27,1,0,1
2,4,2,2,9,1,0,3,3,0.0,0.0,0.0,3,3,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5,23,2,3,0,0,0,0,2,6,2,4,2,0,0,0,11,0,0,0
1,1,0,1,1,2,0,0,0,0.0,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0
3,3,0,3,4,2,0,7,0,0.25,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,1,0,0,16,2,0,0,0,1,1,1,1,1,1,0,0,0,0,17,10,0,0
4,4,0,4,4,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,13,1,0,0
3,6,3,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
5,5,0,5,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,1,0,0,0,0,16,1,0,1
3,3,0,3,74,1,0,5,2304,0.89855075,0.0,0.0,69,0,65,0,4,0,69,0,0,0,1,0,0,0,1,0,0,0,0,282,65,0,4,0,0,119,1,1,2,1,1,0,0,0,44,1036,0,1
2,3,1,2,6,1,0,3,1,0.0,0.0,0.0,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,6,33,1,2,1,0,0,14,21,12,7,5,2,0,0,0,12,1,0,0
3,5,2,3,10,1,0,3,0,0.42857146,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,38,5,1,1,0,0,0,4,12,1,7,1,0,0,0,26,0,0,1
4,4,0,4,6,1,0,8,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,3,0,3,8,6,0,7,1,0,0,4,44,0,0,1
0,0,0,0,14,1,0,0,22,0.75,0.0,0.0,13,0,8,0,5,0,13,0,0,0,8,0,0,8,0,0,0,0,0,66,8,0,0,0,0,0,0,13,0,8,1,0,0,0,23,9,0,1
5,5,0,5,2,1,0,5,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,17,0,0,0,0,0,1,6,5,0,5,0,0,0,0,19,0,0,1
1,2,1,1,3,1,0,0,0,0.0,,,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,11,1,0,1,0,0,1,0,1,0,1,1,0,0,0,37,17,0,0
6,6,0,6,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14,1,0,1
3,3,0,3,2,1,0,5,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,5,0,5,0,0,0,0,23,0,0,0
14,14,0,14,9,1,0,8,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,35,9,0,0,0,0,22,4,5,0,6,1,0,0,0,33,1,0,1
4,9,5,4,0,1,0,0,0,,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17,1,0,1
3,6,3,3,12,2,0,4,13,0.6363637,0.0,0.0,11,0,10,0,1,0,11,0,0,0,3,0,0,0,3,0,0,0,0,471,6,0,1,0,0,0,1,8,0,6,1,0,3,0,23,1,0,1
9,10,1,9,0,1,0,0,0,,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,19,1,0,1
9,9,0,9,4,1,0,6,0,0.25,0.0,0.0,4,1,0,0,0,4,4,0,0,0,1,0,0,1,0,0,0,0,1,18,1,0,0,0,0,4,2,1,0,1,0,0,0,0,29,0,0,1
3,3,0,3,4,2,0,8,0,0.25,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,1,0,0,16,2,0,0,0,1,1,0,1,0,1,0,0,0,0,17,10,0,1
1,2,1,1,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0
2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0
2,3,1,2,5,1,0,7,0,0.22222222,0.0,0.0,3,0,3,0,0,0,3,0,1,0,3,0,0,3,0,0,3,0,2,30,3,0,0,1,0,1,0,4,0,4,3,0,0,0,27,1,1,1
1,1,0,1,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0
2,4,2,2,10,1,0,3,3,0.0,0.0,0.0,3,3,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5,30,1,4,0,0,0,0,4,8,6,4,2,0,0,0,13,0,0,1
3,3,0,3,2,1,0,4,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,24,6,0,6,0,0,0,0,16,0,0,0
2,3,1,2,5,1,0,10,1,0.0,0.0,0.0,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,21,1,1,2,0,0,2,7,5,1,5,2,0,0,0,14,1,0,1
0,0,0,0,14,1,0,0,22,0.75,0.0,0.0,13,0,8,0,5,0,13,0,0,0,8,0,0,8,0,0,0,0,0,66,8,0,0,0,0,0,0,13,0,8,1,0,0,0,23,9,0,1
13,16,3,13,4,2,0,2,2,0.6875,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,21,1,0,0,0,0,4,0,3,0,4,0,0,0,0,16,1,0,1
17,17,0,17,17,1,0,13,0,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,0,0,0,78,17,0,0,0,0,39,7,10,0,11,1,0,0,0,40,1,0,1
3,3,0,3,88,1,0,5,3361,0.91566265,0.0,0.0,83,0,79,0,4,0,83,0,0,0,1,0,0,0,1,0,0,0,0,338,79,0,4,0,0,145,1,1,2,1,1,0,0,0,45,1036,0,1
1,6,5,1,27,1,0,8,273,0.89418,0.0,0.0,27,0,27,0,0,0,27,0,0,0,14,1,0,14,0,0,1,0,0,116,14,0,0,0,0,26,1,15,0,15,0,0,0,0,49,1,0,1
14,14,0,14,10,1,0,9,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,39,10,0,0,0,0,21,4,6,0,7,1,0,0,0,29,1,0,1
3,3,0,3,3,1,0,4,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,1,20,1,0,0
4,5,1,4,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0
5,5,0,5,4,1,0,8,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,8,0,7,0,7,1,0,0,2,32,0,0,1
2,2,0,2,0,1,0,0,0,,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,9,0,0
3,4,1,3,5,1,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,22,2,0,1,1,0,6,0,1,1,1,2,0,0,0,120,1,0,0
1,9,8,1,23,1,0,8,187,0.8768115,0.0,0.0,23,0,23,0,0,0,23,0,0,0,12,1,0,12,0,0,1,0,0,100,12,0,0,0,0,23,1,13,0,13,0,0,0,0,46,1,0,1
5,9,4,5,0,1,0,0,0,,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,20,1,0,1
2,4,2,2,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,1
3,3,0,3,74,1,0,5,2304,0.89855075,0.0,0.0,69,0,65,0,4,0,69,0,0,0,1,0,0,0,1,0,0,0,0,282,65,0,4,0,0,119,1,1,2,1,1,0,0,0,43,1036,0,1
1,1,0,1,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,6,1,0,1,0,0,0,0,23,1,0,0
3,3,0,3,2,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,9,2,0,0,0,0,0,0,0,0,1,1,0,0,0,14,9,0,0
2,2,0,2,1,2,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,23,0,0,0
4,5,1,4,4,2,0,3,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,1,0,0,0,2,1,0,1,1,0,0,0,23,1,0,0
4,5,1,4,7,1,0,6,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,29,1,0,1,0,0,5,1,3,5,3,2,0,0,0,70,1,0,0
0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,7,0,26,1,0,1
12,12,0,12,3,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,14,3,0,0,0,0,8,1,2,0,3,1,0,0,0,21,1,0,1
4,4,0,4,7,1,0,10,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,27,51,27,0,27,0,0,0,4,33,0,0,1
1,4,3,1,4,1,0,6,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,16,1,0,0,0,0,1,2,1,0,3,0,0,0,1,32,17,1,0
1,1,0,1,1,2,0,0,0,0.0,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0
3,5,2,3,12,2,0,4,13,0.6363637,0.0,0.0,11,0,10,0,1,0,11,0,0,0,3,0,0,0,3,0,0,0,0,456,6,0,1,0,0,0,1,8,0,6,1,0,3,0,23,1,0,1
2,2,0,2,3,2,0,3,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,1,0,0,1,0,2,1,2,1,0,0,0,15,1,0,0
6,6,0,6,7,1,0,15,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,69,0,0,0,3,3,9,35,32,0,32,1,0,0,0,38,0,0,1
